language, text
"en", "@jdpereira I've heard some people claim it for \"first gen grad school\" (first generation in extended family to go to grad school), which I technically am, but it doesn't seem that special to remark on. It's def less of an obstacle than being actual first-gen college."
"en", "@jdpereira The definition I use is if you're the first generation in your family to go to college (i.e., parents and grandparents, perhaps even aunts and uncles, didn't go to college)."
"en", "RT @DrShayPhD: I don't know what the future holds, but I know who holds the future."
"en", "I don't know what the future holds, but I know who holds the future."
"en", "the realization of exactly how long i have been roleplaying dazai on the internet (six years ago last month i created his dreamwidth) just slammed into me like a truck and i want to die"
"en", "@MusaMatiwane_ She's so fine"
"en", "RT @Official_KLJ: You hungry? https://t.co/7EAbJGdCVS"
"en", "You hungry? https://t.co/7EAbJGdCVS"
"en", "I love you not for whom  e #推特刷粉 ＃推特粉丝 ＃推特涨粉  IE R I Lyou are, but who   https://t.co/34BkuNxaDd"
"en", "@skullking981 Absolutely stunning. Mashallah brother 🙏🔥"
"en", "animation reel\n\n#アニメーター https://t.co/CUMBDccToa"
"en", "@Acyn Yeah, and?"
"en", "Kevin Brady (R-TX) warns that releasing Trump’s tax returns could lead to the release of tax returns of Supreme Court Justices https://t.co/ggwOPFKvFj"
"en", "u4 #温州 #苏州 #宁波 Belief consists in accepting the affirmations of the https://t.co/lNpm7ZBmb0"
"en", "RT @ShawnnBrooks: Wake up I’m horny 🕊 https://t.co/VegLi1xLeu"
"en", "Wake up I’m horny 🕊 https://t.co/VegLi1xLeu"
"en", "RT @Jaymeleigh66: Way to go Hawks! @rylie_burley1  not Burton :) @LSJNews @TheNaturals2025 https://t.co/xebzDK5qC5"
"en", "Way to go Hawks! @rylie_burley1  not Burton :) @LSJNews @TheNaturals2025 https://t.co/xebzDK5qC5"
"en", "Who was the most underrated player at the #FIFAWorldCup?"
"en", "RT @Hemah_k: My mum thinks she’s slick but I’ve beeeen onto her 😒😂❤️ https://t.co/V1V7fvSRBH"
"en", "My mum thinks she’s slick but I’ve beeeen onto her 😒😂❤️ https://t.co/V1V7fvSRBH"
"en", "@lindesege @dingeywhiteowl @RolandThomas99 @NoContextBrits Dude, just read the replies before giving the dame disingenuous argument\n\nhttps://t.co/gqSiCckhfP"
"en", "@thealternate98 @dingeywhiteowl @RolandThomas99 @NoContextBrits So all asylum seekers, migrants, and as the original tweet said, foreigners are Albanians? 🙃 Stop using Albanians as your punching bag, we all know they aren’t the ones you fear are “taking over” Britain and putting “British culture at jeopardy.”"
"en", "@YasmineJibril @dingeywhiteowl @RolandThomas99 @NoContextBrits People fleeing non-war torn Albania via non-war torn France are fleeing war and persecution. Today I learned."
"en", "RT @BassieLastrassi: Omg Theo James https://t.co/OrepR6GBHb"
"en", "Omg Theo James https://t.co/OrepR6GBHb"
"en", "@DarkArts_Crafts I forgot to signup for Healthcare through work... so I've got 1 more year of ignoring the pains in my mouth before I go to get what I can only assume will be terrible news."
"en", "@BrianIsTired I need a root canal and one of my cats needs asthma medication. Neither can happen now but he'll be getting his meds first I know that much."
"en", "RT @KoralBanks: He did a Head Stand while eating it had me like wtf😍🤣 https://t.co/3S55yaed6u"
"en", "He did a Head Stand while eating it had me like wtf😍🤣 https://t.co/3S55yaed6u"
"en", "@TPMvideos Splash Mountain…and it should only be for repairs and upgrading effects/animatronics. Not a whole retheme!"
"en", "Name a Disney World ride that desperately needs a refurbishment to fix broken animatronics and effects in the ride. I’ll go first- Journey of the Little Mermaid"
"en", "RT @blackswan_lover: JIN’S FALSETTO IN COME BACK HOME CAN FUCK ME UP FR"
"en", "JIN’S FALSETTO IN COME BACK HOME CAN FUCK ME UP FR"
"en", "@smalltitshae Yess💯"
"en", "RT @_weyimi: My interview with CNN:\n\nThe obidient movement is a group of frustrated Nigerians who want good governance. \n\nEvery one of us i…"
"en", "My interview with CNN:\n\nThe obidient movement is a group of frustrated Nigerians who want good governance. \n\nEvery one of us is running for the presidency, through Peter Obi \n\nFull video link👇👇\nhttps://t.co/hWAzlWUF27 https://t.co/Dw9GNWmEXm"
"en", "@elonmusk MrBeast for ceo"
"en", "Should I step down as head of Twitter? I will abide by the results of this poll."
"en", "RT @investigationsk: @TomFitton @elonmusk @RepAdamSchiff Wow, if this happened, this is a criminal offense!"
"en", "@TomFitton @elonmusk @RepAdamSchiff Wow, if this happened, this is a criminal offense!"
"en", "For further details, please see our website ⬇️for our current programme. We hope to see you there!\nhttps://t.co/4pZ7EYZOYv 2/2 @histassoc @BSGDHistory"
"en", "As 2022 draws to a close, here is a reminder that our programme will continue into 2023. On Monday 9th January Professor Peter Mandler, president of the HA, will be delivering a lecture on \"The Crisis of Meritocracy: How popular demand made Britain a mass education society.\" 1/2 https://t.co/r6Bm33vy5z"
"en", "RT @DrProudman: “For too many years I have been caged in an arduous and expensive legal process, which has shown itself unable to protect m…"
"en", "“For too many years I have been caged in an arduous and expensive legal process, which has shown itself unable to protect me and my right to free speech… women shouldn’t have to face abuse or bankruptcy for speaking their truth”.\n\n— Amber Heard."
"en", "@NomadicQuantum @Kimberfan76 @MaxCeOIivia @EDIQuestions @DuckyVSTerfs @forevershallon @RadFemme74 @bullrike @enbyous123 @Hereticalturf @spupofficial_ @GregoryWhitta13 @the_damn_muteKi @_sleep_data_ @GhostInCyber @bgpereira3 @doodle_bobby @juha_remes @fletcherkathy8 @MollyRomping @veritasalways1 @cecinestpaspipe @latsot @StarlightLexii @Seinneann @gc_feminist @CalledPal @Brunch_O_Turfs @one_eldritch @Cave_Art_Films @PomeranianGod @StitchingSin @Carm5012 @loopylooozz @BlakeBlakebabee @thefempire50 @Smazeny_ @Gremozzerella @Louiethelou @Harveycuthbert3 @xamethystbatata @RogueMaleBro @realWillPiper @ruprekt79 @wrenwright @ThatsMadeMyDay @ffenics @witchygibson @crashonrepeat What is heritage other generations of a community in a particular location?"
"en", "@Kayyyjaayy @Kimberfan76 @MaxCeOIivia @EDIQuestions @DuckyVSTerfs @forevershallon @RadFemme74 @bullrike @enbyous123 @Hereticalturf @spupofficial_ @GregoryWhitta13 @the_damn_muteKi @_sleep_data_ @GhostInCyber @bgpereira3 @doodle_bobby @juha_remes @fletcherkathy8 @MollyRomping @veritasalways1 @cecinestpaspipe @latsot @StarlightLexii @Seinneann @gc_feminist @CalledPal @Brunch_O_Turfs @one_eldritch @Cave_Art_Films @PomeranianGod @StitchingSin @Carm5012 @loopylooozz @BlakeBlakebabee @thefempire50 @Smazeny_ @Gremozzerella @Louiethelou @Harveycuthbert3 @xamethystbatata @RogueMaleBro @realWillPiper @ruprekt79 @wrenwright @ThatsMadeMyDay @ffenics @witchygibson @crashonrepeat I don't consider people any particular illness a people either. They can form communities."
"en", "@tomattsss Hi, @tomattsss. . We are here to help. Let us engage further by sending us a DM. Thank you!"
"en", "@z_rich11 Gotta eat the dip sticks"
"en", "@loafinit Pour the powder straight into your mouth and throw away the \"dip sticks.\" It's more efficient and less messy"
"en", "He’s about 0.5 seconds away from  falling asleep in the chair he was sitting in inside captain price’s office… he hated playing delivery boy between the two countries but.. it’s better than having to teach people how to properly throw a goddamn grenade."
"en", "@neomuzui @KrazyKaos924 @theeRAIMIVERSE W true"
"en", "RT @MzthaGoody: My biggest fear is getting pregnant because that would mean 9months without sex."
"en", "My biggest fear is getting pregnant because that would mean 9months without sex."
"en", "@GalGadot Do you want to go on a date?"
"en", "@F2FFLO when i see mother i say mother!"
"en", "@reneesrivera you be having the most random people on yo stan list"
"en", "They banned those full length compressions shortly after this as if that was the reason he was giving buckets https://t.co/f8c5HKZCwU"
"en", "17 years ago Kobe outscored the entire Mavs team 62-61 after 3 Quarters 🐐 https://t.co/yvsWjNlWeG"
"en", "RT @RuPaulsDragRace: New host, who this? 😱 \n\n@TheBiancaDelRio is hosting #ThePitStop for Season 15! 👑 New episodes premiere every Saturday…"
"en", "New host, who this? 😱 \n\n@TheBiancaDelRio is hosting #ThePitStop for Season 15! 👑 New episodes premiere every Saturday starting in January ✨ https://t.co/Jt2qpArGCQ"
"en", "BREAKING: The House Ways and Means Committee is considering releasing Trump's tax returns to the public RIGHT NOW.\n\nShould they?"
"en", "my girl 🥰 https://t.co/IOEUFYs70B"
"en", "Suddenly I’m getting a ton of reviewer DMs on Instagram. How can I tell if they’re legit?"
"en", "@ChideraBarthol2 Na like this I take commot https://t.co/FGjI6PQDWg"
"en", "@manu_yfgp @Techizan @twispay @getMaiar WOW TY SO MUCH! how do i share it so others can hear it? i just took a ss lol https://t.co/3bT03PH14T"
"en", "@g68_charlie @Techizan @twispay @getMaiar It's on the way! Enjoy it!"
"en", "RT @PETAUK: It's his last moments alive💔\nRT if you know he didn't deserve to suffer and die in agony. #BanBullfighting https://t.co/YBqiEFJ…"
"en", "It's his last moments alive💔\nRT if you know he didn't deserve to suffer and die in agony. #BanBullfighting https://t.co/YBqiEFJrva"
"en", "known him many years; and I am about to marry his grandnephew.  https://t.co/ahw40nMuqf"
"en", "RT @ericksonolabre: KIM CHIU\n\nand the Billing that Matters!\n\n@prinsesachinita https://t.co/Z9BjEcgJ3D"
"en", "KIM CHIU\n\nand the Billing that Matters!\n\n@prinsesachinita https://t.co/Z9BjEcgJ3D"
"en", "RT @kuju_sankyuu: VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE V…"
"en", "VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VERY CUTE VE\n#akuuki https://t.co/yFZjzT7bTi"
"en", "@xdianalandx Thank you Diana, we all love you back."
"en", "@PonzuEnjoyer You are so loved Ponzu (Brain Smoother)\n\n❤️ I love you ❤️"
"en", "we've stayed up all night trying, trying"
"en", "@haerubys Sungchan and taro i think"
"en", "omg who are these https://t.co/32N4uCiY6n"
"en", "RT @Afghanistan_5: Breaking and heartbreaking!!!\n\nGirls are now banned from Universities too. The last hopes of a generation are killed. No…"
"en", "Breaking and heartbreaking!!!\n\nGirls are now banned from Universities too. The last hopes of a generation are killed. Now girls' education beyond 6th grade is totally banned. Taliban atrocities towards women continues!\n\n#LetAfghanGirlsLearn https://t.co/wHKspqNgid"
"en", "Faithe Tennyson Susie Eva Booth Robert Pag Walton #太原 #太原线下 https://t.co/gWDPX9YQOQ"
"en", "Remember when all the right wingers got angry because someone said they'd never kiss a Tory?\n\nThose same people are out here batting for Clarkson."
"en", "RT @KatyKray73: Dr Kerryn Phelps was pushing the vaccine on everyone, now comes out to say she has neurological symptoms, fatigue, inflamma…"
"en", "Dr Kerryn Phelps was pushing the vaccine on everyone, now comes out to say she has neurological symptoms, fatigue, inflammation as a result of the vaccine. Lists upon lists of vaccine injuries &amp; these selfish people only care when the side effects happens to them.."
"en", "@Hard2Keel ion live in the city i live a few hours out\n\nid make that drive fasho tho lmao"
"en", "@mdloading You do! Lmao"
"en", "RT @historyinmemes: Japanese High School students demonstrating precision walking https://t.co/00zz6WF5Ww"
"en", "Japanese High School students demonstrating precision walking https://t.co/00zz6WF5Ww"
"en", "@Yolo7640311 I have no words. https://t.co/y8Y4yhLvuD"
"en", "My beautiful daughter died suddenly this morning. I'm devastated."
"en", "RT @TimelineCR7: FIFA deleted this tweet after getting called out for being biased and receiving backlash.\n\nA professional account of the b…"
"en", "FIFA deleted this tweet after getting called out for being biased and receiving backlash.\n\nA professional account of the biggest football organisation in the world.\n\nIt has always been Ronaldo vs the rigged system. https://t.co/KqEuRtEKj0"
"en", "RT @hssvillage: 📣 ENGENES &amp; JALNANDANS!\n\nWe are now accepting donations for Lee Heeseung Daily. Any amount is much appreciated, thus all do…"
"en", "📣 ENGENES &amp; JALNANDANS!\n\nWe are now accepting donations for Lee Heeseung Daily. Any amount is much appreciated, thus all donations will be used for fan projects prepared for Lee Heeseung and fans on February 4-5, 2023 #MANIFESTO_IN_MANILA 🫶🏻\n\n#LHeeseungDaily @LHeeseungDaily https://t.co/QJENGHK2Cv"
"en", "@PiersUncensored @piersmorgan @TalkTV Remember this Piers? https://t.co/hzQL7BimWh"
"en", "groan! How much more can we take? https://t.co/yn4JRDx2QX"
"en", "RT @theQuietus: 'The Specials could not hide the spiritual and political ambiguities of coming from Coventry, the precise mix of resignatio…"
"en", "'The Specials could not hide the spiritual and political ambiguities of coming from Coventry, the precise mix of resignation and resistance of living in a city of boom and bust, a city of bombs and rebirth'\n\nTerry Hall Remembered By @KaptainKulk\n\nhttps://t.co/5dsn3Xj8Pk https://t.co/hfHeHSUC8P"
"en", "RT @PusssiParadise: Y’all know what it is🥂🍒 https://t.co/qV1mlx83E0"
"en", "Y’all know what it is🥂🍒 https://t.co/qV1mlx83E0"
"en", "RT @MasterMaxWorld: DUBLIN 🇮🇪 ya boy is here 🧦 I’m staying in Donnybrook what ever that means 😂😂😂 I ain’t know 🤷‍♂️ Top of the Mornin tya’…"
"en", "DUBLIN 🇮🇪 ya boy is here 🧦 I’m staying in Donnybrook what ever that means 😂😂😂 I ain’t know 🤷‍♂️ Top of the Mornin tya’ https://t.co/89O6GWg6oQ"
"en", "RT @BThroughParty: Should we bring our utilities back into public ownership?\n\nYes              Yes                Yes\n👇               👇…"
"en", "Should we bring our utilities back into public ownership?\n\nYes              Yes                Yes\n👇               👇                👇"
"en", "@hmarty0 🤣.\nBut science has some of its roots in the Bible. \nStudy Bro!"
"en", "@justobidient Plenty of media has a lot (“a lot” is two words btw) that science cannot explain. Science comes before the Bible, not the other way around."
"en", "RT @WeberDarlene: 60% of Michigan counties have more registered voters than citizens care to explain @GovWhitmer https://t.co/fh5owIhnDz"
"en", "60% of Michigan counties have more registered voters than citizens care to explain @GovWhitmer https://t.co/fh5owIhnDz"
"en", "Confused- AOA\nthis is one of aoa’s best tracks yet it’s always forgotten?? smh. idle would do this song justice🙏🙏🙏 https://t.co/G8LiVM0SML"
"en", "Dr Feel Good - Rania \nWHO KNOWS THIS HIT??? idle covering this song would serve so much cunt i can just see it https://t.co/BaE2aOvT3h"
"en", "RT @Photographhere: Good Night Fam ♥️\n\nOne of my oldest work Alone still available on Foundation for 0.05 eth 🫶\n\n#KatoKrew https://t.co/B22…"
"en", "Good Night Fam ♥️\n\nOne of my oldest work Alone still available on Foundation for 0.05 eth 🫶\n\n#KatoKrew https://t.co/B22q7b5kUO"
"en", "@ulrichspeck What does Putin have on him?"
"en", "Macron repeats that Russia needs \"guarantees\" once peace is going to be negotiated. \n\nHe apparently continues to think that Russia's war of aggression and conquest has a defensive dimension.\n\nThis is a view that is not shared by most of Europe and the US. https://t.co/P1YaANb1WE"
"en", "to this one group of 3 boys that me &amp; my friends saw at pelita kl around 1 am just now. i hope yall die and then straight away go to the hell 😊 tak malu eh muka dahlah semua hauk lepastu rakam orang suka hati??? and then sengih sengih wtf istg men are so disgusting https://t.co/LKf8xFao2l"
"en", "RT @vermvibe_: Cheers 🥂 5k family 🥳 https://t.co/f74bNJkTrb"
"en", "Cheers 🥂 5k family 🥳 https://t.co/f74bNJkTrb"
"en", "Heater Sports Xtender 54 Ft  Batting Cage E1UIJUV\n\nhttps://t.co/vWiYahNISn https://t.co/wxRezwf4Df"
"en", "RT @_common_W_: Martinez once again mocks Mbappe by showing a doll with mbappe’s face on it . Argentinian’s aren’t taught the word “shame”…"
"en", "Martinez once again mocks Mbappe by showing a doll with mbappe’s face on it . Argentinian’s aren’t taught the word “shame” in school’s ig . \nHe literally scored FOUR goals past you in wc finals . Mbappe owns Argentina . https://t.co/kT8eQQ0mgj"
"en", "RT @FAMUAthletics: 🚨 𝗔𝗟𝗟-𝗔𝗠𝗘𝗥𝗜𝗖𝗔𝗡 𝗔𝗟𝗘𝗥𝗧 🚨\n\nIsaiah Land has been named to @FCS_STATS All-American Second Team. \n\n#FAMU | #Rattlers | #LeaveN…"
"en", "🚨 𝗔𝗟𝗟-𝗔𝗠𝗘𝗥𝗜𝗖𝗔𝗡 𝗔𝗟𝗘𝗥𝗧 🚨\n\nIsaiah Land has been named to @FCS_STATS All-American Second Team. \n\n#FAMU | #Rattlers | #LeaveNoDoubt https://t.co/KiU7oflJee"
"en", "RT @suppandiiii: LaLiga got 15 players in WC final. Meanwhile, so called best league in the world got as many as Ligue 1 (8). https://t.co/…"
"en", "LaLiga got 15 players in WC final. Meanwhile, so called best league in the world got as many as Ligue 1 (8). https://t.co/InuynxR09o"
"en", "because why r u in our business unprovoked then later wanna cry and trend hashtags when we inevitably respond 😭😭"
"en", "miss airhead needs to worry about her injured ankles, inability to keep up with the beat, being a talentless dozen and getting drunk and high every other day while throwing herself at every single man she sees in her vicinity 🥴 https://t.co/N8xTTNQqde https://t.co/gOjYVOoPHT"
"en", "RT @daily_dolce: Croissant shaped cereal from lappartement4f https://t.co/riasFVUK5H"
"en", "Croissant shaped cereal from lappartement4f https://t.co/riasFVUK5H"
"en", "@alayahhhhhhh @StreetFashion01 @kayswervvo Too ethnic"
"en", "@StreetFashion01 @kayswervvo no jerry curl ? :("
"en", "RT @NotYourChosen1: I want this soooo bad 😍😍😩😩😩"
"en", "I want this soooo bad 😍😍😩😩😩 https://t.co/D1PVlVyrrm"
"en", "one person followed me and 2 people unfollowed me // automatically checked by https://t.co/ab2LqvdUjj"
"en", "Who was gonna tell me From Scratch is hella emotional got me in tears every episode 😭"
"en", "RT @alex_mecum: Just a quick body check before starting the day. 😜 https://t.co/SyyQwKNYUX"
"en", "Just a quick body check before starting the day. 😜 https://t.co/SyyQwKNYUX"
"en", "RT @RupakChatto: Indian Overseas Airlines was established by Rusi Mistri in 1946, using 8 war surplus DC-3s, as Mistri Airways. IOA operate…"
"en", "Indian Overseas Airlines was established by Rusi Mistri in 1946, using 8 war surplus DC-3s, as Mistri Airways. IOA operated flights from Bombay to Nagpur and Calcutta, and later expanded operartions to Hyderabad, Bangalore, Madras, Jabalpur, Allahbad, Kanpur and Lucknow. https://t.co/fKLXnTeyH8"
"en", "RT @Femi_Sorry: @PiersUncensored @piersmorgan @TalkTV Piers Morgan wrote 14 negative articles about Meghan Markle in 12 months... compared…"
"en", "@PiersUncensored @piersmorgan @TalkTV Piers Morgan wrote 14 negative articles about Meghan Markle in 12 months... compared to just 5 he'd done about Prince Andrew.\n\nYou say you only hate what she's done to the reputation of te royal family...\nSo tell us how she's damaged it more than the child Sex trafficker's mate? https://t.co/yyPPhS1n43"
"en", "@sosajoejr559 @MissessRightno3 @Thumperjoey68 @risloanes @TraitorJoeBiden @FAABDB @Ace69691976 @snacksiz @DankQ82Q Yes I have the hour long video and it just horrifyingly sad and disgusting. And it’s going on today right here in America right in front of our faces in the media knows about it"
"en", "Source: https://t.co/9bVh0WkEAN\n\n#JSosaTweets @MissessRightno3 \n@Thumperjoey68\n@RIsloanes\n@TraitorJoeBiden\n@FAABDB\n@Ace69691976\n@snacksiz\n@sosajoejr559                      @ScottMorehous10 @DankQ82Q https://t.co/BAxQm98gfM"
"en", "@nuffced918 That better be prop money"
"en", "Earlier in South Central LA https://t.co/RWKBZjYw20"
"en", "RT @SoeliteBBall: 2023 6’1 PG Daeshaun Ross is off to a great start leading SGHS to a 7-2 record! The quick PG lives in the paint, is very…"
"en", "2023 6’1 PG Daeshaun Ross is off to a great start leading SGHS to a 7-2 record! The quick PG lives in the paint, is very good defensively &amp; rebounds real well for his position! A kid that can help out many programs at the college level #TheEliteWay https://t.co/hw0aUaYGzn"
"en", "RT @Ethewaretech: Etheware Space is long overdue and will help the masses stay connected with or without internet connection. \n\nThis will i…"
"en", "Etheware Space is long overdue and will help the masses stay connected with or without internet connection. \n\nThis will introduce a new world where every person can connect no matter location, or restriction, on a safe, protected, protected network. \n\n#ETHEWARE #ETHEWARESPACE https://t.co/W8fbeTFuYG"
"en", "Have a look at this limited edition shoes! Pre-order them now! https://t.co/UriLVUl1dk"
"en", "@MarshaBlackburn Maricopa County courts have dismissed 8 of 10 of Kari Lake's charges of election fraud but will allow two counts to go to trial by January 2. The Lake campaign is calling for money and help. Marsha and John Rich need to get to Arizona immediately to provide more support. Go now!!"
"en", "Biden created this crisis by terminating successful Trump-era immigration policies, including Remain in Mexico &amp; safe third country agreements. \n\nNow, Biden is about to end Title 42.\n\nTennesseans will not stand for this flagrant disregard for law &amp; order. https://t.co/irGonIWR6d"
"en", "this is hating tbh https://t.co/GlOIi4R1Ht"
"en", "I can’t for the life of me understand what’s impressive about this. Apparently for most games he had to leave after a minute or two of attending, so genuinely what’s the point? It’s like watching every screening of a film in the cinema but leaving 5 minutes in. https://t.co/j1EeSMxj22"
"en", "SONORA: He eats people! AND he likes the arts."
"en", "My GOAT relaxing at #DannResidence with a rigged item https://t.co/I3ILNYeZkr"
"en", "RT @sryessrmrbattle: #tb to when I used to work at cookout and on my break I would go stroke my dick https://t.co/JsOGf8wtY4"
